Block,Organization,IANA date,RIR date,Notes
0.0.0.0/8,IANA - Local Identification,1981-09,,Originally IANA - Reserved 1981-09. 0.0.0.0/8 reserved for self-identification (RFC 6890).
10.0.0.0/8,IANA - Private Use,1995-06,,Reserved for Private Networks (RFC 1918).  Formerly ARPANET.[1]
127.0.0.0/8,IANA - Loopback,1981-09,,127.0.0.0/8 is reserved for Loopback (RFC 6890).
224.0.0.0/8–239.0.0.0/8,Multicast,1981-09,1991-05-22,"Multicast (formerly ""Class D"") (RFC 5771) registered in [1]. 224.0.0.0/4."
240.0.0.0/8–255.0.0.0/8,Future Use,1981-09,,"Reserved for future use (formerly ""Class E"") (RFC 1112). 255.255.255.255 is reserved for ""limited broadcast"" destination address (RFC 919) and (RFC 922). 240.0.0.0/4."
12.0.0.0/8,AT&T Services,1995-06,1983-08-23,"Originally AT&T Bell Laboratories, retained by AT&T when Bell Labs was spun off to Lucent Technologies in 1996."
17.0.0.0/8,Apple Inc.,1992-07,1990-04-16,
19.0.0.0/8,Ford Motor Company,1995-05,1988-06-15,
38.0.0.0/8,"PSINet, Inc.",1994-09,1991-04-16,"PSINet, then Cogent Communications."
48.0.0.0/8,Prudential Securities Inc.,1995-05,1990-12-07,The Prudential Insurance Company of America.
56.0.0.0/8,US Postal Service,1994-06,1992-11-02,
73.0.0.0/8,Comcast Corporation,N/A,2005-04-19,Comcast Cable Communications LLC.[2]
6.0.0.0/8,Army Information Systems Center,1994-02,1994-02-01,"Headquarters, USAISC."
7.0.0.0/8,DoD Network Information Center,1995-04,1997-11-24,Formerly IANA - Reserved 1995-04. Entirely assigned to DoD Network Information Center (DNIC) 1997-11-24. Updated to Administered by ARIN not before 2007.
11.0.0.0/8,DoD Intel Information Systems,1993-05,1984-01-19,
21.0.0.0/8,DDN-RVN,1991-07,1991-07-01,DoD Network Information Center (DNIC).
22.0.0.0/8,Defense Information Systems Agency,1993-05,1989-06-26,DoD Network Information Center (DNIC).
26.0.0.0/8,Defense Information Systems Agency,1995-05,1995-05-01,DoD Network Information Center (DNIC).
28.0.0.0/8,DSI-North,1992-07,,DoD Network Information Center (DNIC).
29.0.0.0/8,Defense Information Systems Agency,1991-07,1991-07-01,DoD Network Information Center (DNIC).
30.0.0.0/8,Defense Information Systems Agency,1991-07,1991-07-01,DoD Network Information Center (DNIC).
33.0.0.0/8,DLA Systems Automation Center,1991-01,1991-01-01,DoD Network Information Center (DNIC).
